                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6861,                 1.0062,                 1.3026,                0.79823,                0.63121,                0.68262,                0.31048,                 1.3709,                 1.3388,                0.96485,               0.006535,               0.006535,               0.006535
                     37,                 1.6468,                0.98207,                 1.2797,                0.79042,                0.63866,                 0.6779,                0.31161,                 1.3825,                 1.2872,                0.96729,               0.006436,               0.006436,               0.006436
                     38,                 1.6488,                0.96256,                 1.2833,                0.78934,                0.64439,                0.68277,                0.31106,                 1.3934,                 1.2493,                0.97191,               0.006337,               0.006337,               0.006337
                     39,                 1.6436,                0.95604,                 1.2855,                0.79695,                0.63908,                0.68229,                0.31478,                 1.3758,                 1.2584,                0.96289,               0.006238,               0.006238,               0.006238
                     40,                 1.6499,                0.96978,                 1.2751,                0.79211,                 0.6425,                0.68252,                0.31432,                  1.377,                 1.2681,                0.96237,               0.006139,               0.006139,               0.006139
                     41,                 1.6416,                 0.9558,                 1.2702,                0.78481,                0.64108,                0.68207,                0.31475,                 1.3807,                 1.2525,                0.96382,                0.00604,                0.00604,                0.00604
                     42,                 1.6277,                0.96481,                 1.2716,                 0.7889,                0.63856,                0.68181,                0.31596,                 1.3849,                 1.2692,                0.96555,               0.005941,               0.005941,               0.005941
                     43,                 1.6405,                0.96281,                 1.2833,                0.79527,                0.63261,                0.67731,                0.31453,                 1.3869,                 1.2839,                0.96613,               0.005842,               0.005842,               0.005842
                     44,                 1.6275,                0.94438,                 1.2712,                0.78505,                0.63126,                0.67562,                0.31368,                 1.3874,                 1.2831,                0.96577,               0.005743,               0.005743,               0.005743
                     45,                 1.6404,                0.95321,                 1.2783,                0.78859,                0.62903,                0.67613,                0.31394,                 1.3888,                 1.2745,                0.96658,               0.005644,               0.005644,               0.005644
                     46,                 1.6275,                 0.9466,                 1.2747,                0.78486,                0.62759,                0.67431,                0.31489,                 1.3902,                 1.2799,                0.96662,               0.005545,               0.005545,               0.005545
                     47,                 1.6193,                 0.9265,                 1.2711,                0.77285,                0.63824,                0.67589,                0.31466,                 1.3934,                 1.2893,                0.96748,               0.005446,               0.005446,               0.005446
                     48,                 1.6207,                0.94847,                 1.2585,                0.78563,                0.63495,                0.67801,                0.31469,                  1.394,                 1.2875,                0.96763,               0.005347,               0.005347,               0.005347
                     49,                 1.6096,                0.93428,                 1.2603,                0.78136,                0.63858,                 0.6768,                0.31479,                 1.3956,                 1.2777,                0.96882,               0.005248,               0.005248,               0.005248
                     50,                 1.6088,                0.92362,                 1.2583,                 0.7759,                0.64462,                0.67725,                 0.3135,                 1.3961,                 1.2801,                0.96841,               0.005149,               0.005149,               0.005149
                     51,                 1.5975,                0.92903,                 1.2603,                0.77439,                0.64508,                0.67437,                 0.3135,                 1.3943,                 1.2739,                0.96788,                0.00505,                0.00505,                0.00505
                     52,                 1.5945,                0.91176,                 1.2504,                0.78791,                0.64003,                0.67457,                0.31241,                  1.394,                 1.2768,                0.96794,               0.004951,               0.004951,               0.004951
                     53,                 1.6175,                0.91542,                 1.2635,                0.78663,                0.64543,                0.67401,                0.31244,                 1.3927,                 1.2779,                0.96791,               0.004852,               0.004852,               0.004852
                     54,                 1.5893,                0.91244,                 1.2562,                0.78955,                0.64155,                0.67431,                0.31249,                 1.3938,                 1.2794,                0.96807,               0.004753,               0.004753,               0.004753
                     55,                 1.5782,                0.88999,                 1.2452,                 0.7877,                0.63705,                0.67234,                0.31252,                 1.3957,                 1.2801,                0.96944,               0.004654,               0.004654,               0.004654
                     56,                 1.5839,                0.90979,                 1.2512,                0.78795,                0.63847,                0.67315,                0.31181,                 1.3945,                 1.2856,                0.96965,               0.004555,               0.004555,               0.004555
                     57,                 1.5806,                0.91292,                 1.2494,                0.78346,                0.63705,                0.67049,                0.31114,                 1.3957,                 1.2847,                0.97036,               0.004456,               0.004456,               0.004456
                     58,                 1.5774,                0.91706,                 1.2501,                0.78335,                0.64002,                0.66933,                0.31172,                 1.3945,                  1.283,                0.97036,               0.004357,               0.004357,               0.004357
                     59,                 1.5802,                0.89414,                 1.2387,                0.78596,                0.63847,                0.66873,                 0.3108,                 1.3955,                 1.2773,                0.97024,               0.004258,               0.004258,               0.004258
                     60,                 1.5698,                0.89076,                  1.237,                 0.7909,                0.64082,                0.66994,                0.31124,                  1.396,                 1.2717,                0.97026,               0.004159,               0.004159,               0.004159
                     61,                 1.5598,                0.88723,                 1.2373,                0.78785,                0.64131,                0.67187,                0.31191,                 1.3952,                 1.2636,                0.97011,                0.00406,                0.00406,                0.00406
                     62,                 1.5659,                0.87882,                  1.237,                0.78542,                0.64273,                  0.672,                0.31204,                 1.3924,                 1.2611,                0.96855,               0.003961,               0.003961,               0.003961
                     63,                 1.5406,                0.87632,                 1.2299,                0.78323,                0.64581,                0.67322,                0.31214,                 1.3931,                 1.2525,                0.96843,               0.003862,               0.003862,               0.003862
